Season,TeamID,games,wins,losses,win_pct,points_per_game,points_allowed_per_game,off_eff,def_eff,net_eff,tempo,off_efg,off_to_rate,off_or_rate,off_ftr,def_efg,def_to_rate,def_or_rate,def_ftr,ast_per_game,stl_per_game,blk_per_game,TeamName
2010,1143,33,23,10,0.696969696969697,77.96969696969697,68.39393939393939,113.42171675427866,100.2854825988914,13.136234155387257,68.47121212121213,0.5336962156557802,0.17456276655536085,0.35223048327137546,0.2664593053395542,0.4832089552238806,0.18972929140330805,0.3070934256055363,0.23667377398720682,14.454545454545455,5.666666666666667,2.484848484848485,California
2010,1293,32,28,4,0.875,76.09375,61.03125,112.86210892236386,89.76730824475725,23.094800677606614,67.705078125,0.5547508690614137,0.21506373117033603,0.3906408952187182,0.30127462340672073,0.4386415525114155,0.2431485205400747,0.3333333333333333,0.2374429223744292,15.1875,9.28125,5.40625,Murray St
2010,1314,32,16,16,0.5,75.1875,72.3125,102.49965386131021,98.78335112059766,3.7163027407125497,73.278515625,0.4817629179331307,0.2100263065404237,0.39574816026165166,0.2553191489361702,0.47032072762087124,0.18868729989327643,0.33151750972762645,0.16706558161799903,15.625,6.8125,5.8125,North Carolina
2010,1198,31,6,25,0.1935483870967742,67.35483870967742,77.0,97.07677108153658,111.4587224505043,-14.38195136896772,69.23346774193548,0.4616017553483269,0.1924798047306329,0.3079526226734349,0.22216127262753702,0.5600583090379009,0.2133918565558461,0.34933605720122574,0.2717201166180758,12.225806451612904,8.064516129032258,1.8064516129032258,Florida Intl
2010,1326,34,27,7,0.7941176470588235,74.23529411764706,61.205882352941174,113.40762041696621,93.833840604216,19.573779812750217,65.34338235294118,0.5639281828073993,0.17298705966930267,0.29569377990430623,0.24537540805223068,0.4737848170398689,0.21778829895164017,0.28411053540587217,0.18896777717094485,14.705882352941176,7.147058823529412,4.088235294117647,Ohio St
2010,1108,31,2,29,0.06451612903225806,60.645161290322584,82.0,80.0894616326748,108.6731149468284,-28.583653314153608,75.58870967741936,0.418462434478742,0.2734969913200916,0.2922824302134647,0.2580081537565521,0.5227510460251046,0.2086250200395447,0.397108843537415,0.2839958158995816,8.67741935483871,6.903225806451613,3.161290322580645,Alcorn St
2010,1393,32,28,4,0.875,81.46875,66.875,113.78937834859182,93.75684556407448,20.032532784517343,71.462109375,0.5734584450402145,0.21081806575515863,0.3716475095785441,0.25093833780160857,0.4614799797263051,0.22782037239868566,0.34972677595628415,0.16168271667511405,19.375,10.0,6.5625,Syracuse
2010,1107,32,7,25,0.21875,62.71875,69.125,94.98905519730225,104.17745961475062,-9.188404417448368,66.190234375,0.46486175115207373,0.24469029166420161,0.35978358881875566,0.22638248847926268,0.49720357941834453,0.18461828286158335,0.3192446043165468,0.24272930648769575,11.875,5.84375,3.03125,SUNY Albany
2010,1178,33,19,14,0.5757575757575758,69.03030303030303,66.0909090909091,100.99756151629352,96.21492853361566,4.782632982677853,68.51969696969697,0.49885189437428246,0.22345377964974505,0.34798534798534797,0.3099885189437428,0.47509684560044274,0.21881065819657666,0.3028169014084507,0.2567791920309906,13.636363636363637,7.242424242424242,3.515151515151515,Detroit
2010,1300,25,3,22,0.12,56.8,71.8,84.07466066697258,105.38057357560102,-21.305912908628443,67.84649999999999,0.42456268221574345,0.24630323124972248,0.3056768558951965,0.1858600583090379,0.5463800904977375,0.245398773006135,0.37566844919786097,0.2609351432880845,11.28,7.92,2.92,NC Central
