seed_diff,off_eff_diff,def_eff_diff,net_eff_diff,tempo_diff,off_efg_diff,off_to_rate_diff,off_or_rate_diff,off_ftr_diff,def_efg_diff,def_to_rate_diff,def_or_rate_diff,def_ftr_diff,win_pct_diff,sos_diff,tempo_mismatch,recent_win_pct_diff,recent_avg_margin_diff,tourney_exp_diff,avg_seed_hist_diff,a_off_eff,b_off_eff,a_def_eff,b_def_eff,a_net_eff,b_net_eff,a_tempo,b_tempo,a_off_efg,b_off_efg,a_off_to_rate,b_off_to_rate,a_off_or_rate,b_off_or_rate,a_off_ftr,b_off_ftr,a_def_efg,b_def_efg,a_def_to_rate,b_def_to_rate,a_def_or_rate,b_def_or_rate,a_def_ftr,b_def_ftr,a_win_pct,b_win_pct,a_sos,b_sos,Season,TeamA_ID,TeamB_ID,team_a_wins
0.0,0.2104577126720102,2.1315112907064844,-1.9210535780344742,1.612031249999987,0.031095503837069216,0.06374640773745915,0.01980472013366752,0.09980595450553806,-0.00033399508059583916,-0.022220479723806058,-0.03353660087172783,0.10704542333096106,-0.03541666666666665,-0.010690247252569618,1.612031249999987,0.20000000000000007,3.3999999999999995,0.0,0.0,93.15885822767646,92.94840051500445,94.10374141928446,91.97223012857798,-0.9448831916079996,0.9761703864264746,68.93828124999999,67.32625,0.450029744199881,0.4189342403628118,0.24498836079282213,0.18124195305536298,0.35982142857142857,0.34001670843776105,0.32599643069601425,0.2261904761904762,0.45673671199011123,0.45707070707070707,0.2054825658044279,0.22770304552823395,0.2639138240574506,0.29745042492917845,0.3658838071693449,0.2588383838383838,0.53125,0.5666666666666667,0.44809122121262424,0.45878146846519385,2010,1115,1457,1
0.0,-0.2104577126720102,-2.1315112907064844,1.9210535780344742,-1.612031249999987,-0.031095503837069216,-0.06374640773745915,-0.01980472013366752,-0.09980595450553806,0.00033399508059583916,0.022220479723806058,0.03353660087172783,-0.10704542333096106,0.03541666666666665,0.010690247252569618,1.612031249999987,-0.20000000000000007,-3.3999999999999995,0.0,0.0,92.94840051500445,93.15885822767646,91.97223012857798,94.10374141928446,0.9761703864264746,-0.9448831916079996,67.32625,68.93828124999999,0.4189342403628118,0.450029744199881,0.18124195305536298,0.24498836079282213,0.34001670843776105,0.35982142857142857,0.2261904761904762,0.32599643069601425,0.45707070707070707,0.45673671199011123,0.22770304552823395,0.2054825658044279,0.29745042492917845,0.2639138240574506,0.2588383838383838,0.3658838071693449,0.5666666666666667,0.53125,0.45878146846519385,0.44809122121262424,2010,1457,1115,0
-11.0,0.136955347083358,-3.450215624736117,3.587170971819475,-3.1421947004608484,0.002865772379603393,0.016522797091290953,0.03913833505646985,-0.006373997067385895,-0.05642915041996838,-0.03229426719293263,0.02503692799083418,-0.05457632803656029,0.024193548387096753,0.10819381735504174,3.1421947004608484,0.0,-4.700000000000001,0.0,0.0,112.95436463169895,112.8174092846156,98.06880979261989,101.519025417356,14.885554839079063,11.298383867259588,67.88548387096773,71.02767857142858,0.5462377943710511,0.5433720219914477,0.20614884041277268,0.18962604332148172,0.38336713995943206,0.3442288049029622,0.273406088454911,0.2797800855222969,0.446448087431694,0.5028772378516624,0.1782637114504724,0.21055797864340503,0.3295175797219951,0.3044806517311609,0.23442622950819672,0.289002557544757,0.7741935483870968,0.75,0.5799933904962316,0.4717995731411898,2010,1124,1358,1
11.0,-0.136955347083358,3.450215624736117,-3.587170971819475,3.1421947004608484,-0.002865772379603393,-0.016522797091290953,-0.03913833505646985,0.006373997067385895,0.05642915041996838,0.03229426719293263,-0.02503692799083418,0.05457632803656029,-0.024193548387096753,-0.10819381735504174,3.1421947004608484,0.0,4.700000000000001,0.0,0.0,112.8174092846156,112.95436463169895,101.519025417356,98.06880979261989,11.298383867259588,14.885554839079063,71.02767857142858,67.88548387096773,0.5433720219914477,0.5462377943710511,0.18962604332148172,0.20614884041277268,0.3442288049029622,0.38336713995943206,0.2797800855222969,0.273406088454911,0.5028772378516624,0.446448087431694,0.21055797864340503,0.1782637114504724,0.3044806517311609,0.3295175797219951,0.289002557544757,0.23442622950819672,0.75,0.7741935483870968,0.4717995731411898,0.5799933904962316,2010,1358,1124,0
-7.0,1.725461430691297,1.4969811531055512,0.22848027758574574,-6.001953125,-0.009986904213480474,0.006663940882639718,0.02027893594477509,0.08565642288181119,0.02119291427488129,-0.014646983571931699,-0.032598747303997644,-0.039218077854878686,0.0625,0.012885453527591073,6.001953125,0.09999999999999998,3.4000000000000004,0.0,0.0,108.31301156529929,106.587550134608,92.6966969865129,91.19971583340735,15.616314578786387,15.387834301200641,64.7375,70.739453125,0.5199252801992528,0.5299121844127332,0.19170871864210348,0.18504477775946376,0.3119072708113804,0.29162833486660533,0.35678704856787047,0.2711306256860593,0.4633251833740831,0.44213226909920184,0.21135425965691124,0.22600124322884294,0.27053140096618356,0.3031301482701812,0.24755501222493886,0.28677309007981755,0.875,0.8125,0.5256349218446605,0.5127494683170695,2010,1139,1431,1
7.0,-1.725461430691297,-1.4969811531055512,-0.22848027758574574,6.001953125,0.009986904213480474,-0.006663940882639718,-0.02027893594477509,-0.08565642288181119,-0.02119291427488129,0.014646983571931699,0.032598747303997644,0.039218077854878686,-0.0625,-0.012885453527591073,6.001953125,-0.09999999999999998,-3.4000000000000004,0.0,0.0,106.587550134608,108.31301156529929,91.19971583340735,92.6966969865129,15.387834301200641,15.616314578786387,70.739453125,64.7375,0.5299121844127332,0.5199252801992528,0.18504477775946376,0.19170871864210348,0.29162833486660533,0.3119072708113804,0.2711306256860593,0.35678704856787047,0.44213226909920184,0.4633251833740831,0.22600124322884294,0.21135425965691124,0.3031301482701812,0.27053140096618356,0.28677309007981755,0.24755501222493886,0.8125,0.875,0.5127494683170695,0.5256349218446605,2010,1431,1139,0
-3.0,9.61883934239195,-6.433884081865656,16.052723424257607,4.4181818181818215,0.05689065621638234,-0.022521115095876232,-0.05652978189682961,0.06285965541382788,-0.01847906730259674,0.012085605613390005,-0.059608019570109194,0.06416534181240063,0.21212121212121215,-0.0678595402881671,4.4181818181818215,0.29999999999999993,14.6,0.0,0.0,116.79895455081034,107.18011520841839,91.9125833713298,98.34646745319546,24.886371179480534,8.833647755222927,71.0848484848485,66.66666666666667,0.5509259259259259,0.4940352697095436,0.15981661792902513,0.18233773302490136,0.31024930747922436,0.36677908937605397,0.3004115226337449,0.237551867219917,0.46297297297297296,0.4814520402755697,0.21843553500800575,0.20634992939461574,0.2700247729149463,0.3296327924850555,0.2454054054054054,0.18124006359300476,0.8484848484848485,0.6363636363636364,0.5000739536010207,0.5679334938891878,2010,1140,1196,1
3.0,-9.61883934239195,6.433884081865656,-16.052723424257607,-4.4181818181818215,-0.05689065621638234,0.022521115095876232,0.05652978189682961,-0.06285965541382788,0.01847906730259674,-0.012085605613390005,0.059608019570109194,-0.06416534181240063,-0.21212121212121215,0.0678595402881671,4.4181818181818215,-0.29999999999999993,-14.6,0.0,0.0,107.18011520841839,116.79895455081034,98.34646745319546,91.9125833713298,8.833647755222927,24.886371179480534,66.66666666666667,71.0848484848485,0.4940352697095436,0.5509259259259259,0.18233773302490136,0.15981661792902513,0.36677908937605397,0.31024930747922436,0.237551867219917,0.3004115226337449,0.4814520402755697,0.46297297297297296,0.20634992939461574,0.21843553500800575,0.3296327924850555,0.2700247729149463,0.18124006359300476,0.2454054054054054,0.6363636363636364,0.8484848484848485,0.5679334938891878,0.5000739536010207,2010,1196,1140,0
-15.0,9.527649523829211,-7.711518048903656,17.239167572732867,-0.4612362132352956,0.034919595743079346,-0.0002804731322886278,0.08504098360655737,-0.013715739439428332,-0.05261682549038871,0.009038072899851396,0.02607589725493653,-0.012514654353734805,0.2536764705882353,0.15806993682384646,0.4612362132352956,0.09999999999999998,1.4000000000000004,0.0,0.0,116.34598282013455,106.81833329630534,91.54989025831505,99.2614083072187,24.796092561819506,7.556924989086639,69.97977941176471,70.441015625,0.5505533199195171,0.5156337241764377,0.18456323173985373,0.18484370487214236,0.3819444444444444,0.29690346083788705,0.29728370221327965,0.310999441652708,0.42987654320987656,0.48249336870026527,0.20260003376667232,0.19356196086682093,0.3173216885007278,0.29124579124579125,0.21135802469135803,0.22387267904509284,0.9411764705882353,0.6875,0.5873445853400031,0.42927464851615665,2010,1242,1250,1
15.0,-9.527649523829211,7.711518048903656,-17.239167572732867,0.4612362132352956,-0.034919595743079346,0.0002804731322886278,-0.08504098360655737,0.013715739439428332,0.05261682549038871,-0.009038072899851396,-0.02607589725493653,0.012514654353734805,-0.2536764705882353,-0.15806993682384646,0.4612362132352956,-0.09999999999999998,-1.4000000000000004,0.0,0.0,106.81833329630534,116.34598282013455,99.2614083072187,91.54989025831505,7.556924989086639,24.796092561819506,70.441015625,69.97977941176471,0.5156337241764377,0.5505533199195171,0.18484370487214236,0.18456323173985373,0.29690346083788705,0.3819444444444444,0.310999441652708,0.29728370221327965,0.48249336870026527,0.42987654320987656,0.19356196086682093,0.20260003376667232,0.29124579124579125,0.3173216885007278,0.22387267904509284,0.21135802469135803,0.6875,0.9411764705882353,0.42927464851615665,0.5873445853400031,2010,1250,1242,0
